 jvm.mem.heap_committed_in_bytes, jvm.mem.heap_used_in_bytes, os.mem.used_in_bytes,os.mem.free_in_bytes
259522560,76309416,8148185088,133976064
259522560,76309416,8148185088,133976064
259522560,77025880,8140070912,142090240
259522560,77025880,8145195008,136966144
259522560,77025880,8140251136,141910016
259522560,77981152,8139943936,142217216
259522560,77981152,8138792960,143368192
259522560,78219920,8141111296,141049856
259522560,78458688,8139972608,142188544
259522560,78458688,8141991936,140169216
259522560,78458688,8140509184,141651968
259522560,78697832,8134017024,148144128
259522560,78697832,8136216576,145944576
